waypoint1	waypoint2	distance_m	duration_s
Vienna, Austria	Gozo, Malta	2176880	90976
Gozo, Malta	Prague, Czech Republic	2357856	97735
Gozo, Malta	Krakow, Poland	2636510	107346
Jägala Waterfall, 74205 Harjumaa, Estonia	Gozo, Malta	3869633	161393
Lapland, Finland	Gozo, Malta	4934144	200666
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Gozo, Malta	4823600	194633
Bergen, Norway	Gozo, Malta	3935371	168570
Gozo, Malta	Copenhagen, Denmark	2955639	125025
Berlin, Germany	Gozo, Malta	2557851	105328
Gozo, Malta	Amsterdam, Netherlands	2705303	110289
Gozo, Malta	Keukenhof, Stationsweg, Lisse, Netherlands	2730016	110848
Edinburgh, United Kingdom	Gozo, Malta	3555656	140951
Inverness, United Kingdom	Gozo, Malta	3851901	150219
Ballybunion, Ireland	Gozo, Malta	3822071	156305
Gozo, Malta	Cliffs of Moher, Clare, Ireland	3820080	156140
Cornwall, England	Gozo, Malta	3330784	132274
Stonehenge, Amesbury, United Kingdom	Gozo, Malta	3052014	121217
London, United Kingdom	Gozo, Malta	2928329	118250
Brussels, Belgium	Gozo, Malta	2538448	104581
Gozo, Malta	Paris, France	2476343	101047
Pamplona, Spain	Gozo, Malta	2703692	110369
Lagos, Portugal	Gozo, Malta	3674557	140821
Granada, Spain	Gozo, Malta	3289543	127963
Ibiza, Spain	Gozo, Malta	2981428	123785
Barcelona, Spain	Gozo, Malta	2414320	100751
Gozo, Malta	Luberone, Bonnieux, France	1977333	86921
Gozo, Malta	Nice, France	1749218	78387
Gozo, Malta	Monte Carlo, Monaco	1735249	78006
Interlaken, Switzerland	Gozo, Malta	1889115	84132
Santorini, Thira, Greece	Dubrovnik, Croatia	1290105	86467
Dubrovnik, Croatia	Rila Monastery, Rilski manastir, Bulgaria	805030	44921
Dubrovnik, Croatia	Istanbul, Turkey	1261824	59999
Dubrovnik, Croatia	Sighisoara, Mures County, Romania	980899	54859
Budapest, Hungary	Dubrovnik, Croatia	940333	32593
Vienna, Austria	Dubrovnik, Croatia	954357	34678
Prague, Czech Republic	Dubrovnik, Croatia	1275090	46947
Krakow, Poland	Dubrovnik, Croatia	1413987	51048
Jägala Waterfall, 74205 Harjumaa, Estonia	Dubrovnik, Croatia	2647110	105095
Lapland, Finland	Dubrovnik, Croatia	4035020	155828
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Dubrovnik, Croatia	3924476	149795
Bergen, Norway	Dubrovnik, Croatia	3036247	123732
Copenhagen, Denmark	Dubrovnik, Croatia	2056515	80187
Berlin, Germany	Dubrovnik, Croatia	1623664	60160
Amsterdam, Netherlands	Dubrovnik, Croatia	1911920	68605
Dubrovnik, Croatia	Keukenhof, Stationsweg, Lisse, Netherlands	1938089	69364
Edinburgh, United Kingdom	Dubrovnik, Croatia	2840351	104175
Inverness, United Kingdom	Dubrovnik, Croatia	3136596	113444
Ballybunion, Ireland	Dubrovnik, Croatia	3106767	119530
Cliffs of Moher, Clare, Ireland	Dubrovnik, Croatia	3104776	119365
Cornwall, England	Dubrovnik, Croatia	2615480	95499
Stonehenge, Amesbury, United Kingdom	Dubrovnik, Croatia	2336709	84442
London, United Kingdom	Dubrovnik, Croatia	2213024	81475
Brussels, Belgium	Dubrovnik, Croatia	1867836	66959
Paris, France	Dubrovnik, Croatia	1907092	68384
Pamplona, Spain	Dubrovnik, Croatia	2346053	83378
Lagos, Portugal	Dubrovnik, Croatia	3316919	113830
Granada, Spain	Dubrovnik, Croatia	2931905	100972
Ibiza, Spain	Dubrovnik, Croatia	2623789	96794
Barcelona, Spain	Dubrovnik, Croatia	2056681	73760
Luberone, Bonnieux, France	Dubrovnik, Croatia	1619695	59930
Nice, France	Dubrovnik, Croatia	1391579	51396
Monte Carlo, Monaco	Dubrovnik, Croatia	1377610	51014
Interlaken, Switzerland	Dubrovnik, Croatia	1341210	51653
Santorini, Thira, Greece	Rila Monastery, Rilski manastir, Bulgaria	1045813	62966
Santorini, Thira, Greece	Istanbul, Turkey	1409786	75081
Santorini, Thira, Greece	Sighisoara, Mures County, Romania	1683856	95787
Santorini, Thira, Greece	Budapest, Hungary	1791294	88419
Vienna, Austria	Santorini, Thira, Greece	2026054	96009
Santorini, Thira, Greece	Prague, Czech Republic	2307950	105224
Santorini, Thira, Greece	Krakow, Poland	2185704	108643
Santorini, Thira, Greece	Jägala Waterfall, 74205 Harjumaa, Estonia	3667478	163257
Santorini, Thira, Greece	Lapland, Finland	5068868	216025
Santorini, Thira, Greece	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	4958324	209992
Santorini, Thira, Greece	Bergen, Norway	4100428	184473
Santorini, Thira, Greece	Copenhagen, Denmark	3090363	140383
Santorini, Thira, Greece	Berlin, Germany	2656525	118436
Santorini, Thira, Greece	Amsterdam, Netherlands	3179708	135346
